title,date,duration_s,enclosure_url,enclosure_bytes,guid
New Name: Lex Fridman Podcast,2020-08-24,121,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_fridman_podcast_new_name.mp3,1498564,https://lexfridman.com/?p=4355
#119 – David Eagleman: Neuroplasticity and the Livewired Brain,2020-08-26,6112,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_david_eagleman.mp3,74640603,https://lexfridman.com/?p=4359
#120 – François Chollet: Measures of Intelligence,2020-08-31,9287,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_francois_chollet_2.mp3,113947388,https://lexfridman.com/?p=4365
Lex Solo #2 – The Future of Neuralink,2020-09-01,2033,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_solo_neuralink.mp3,24617674,https://lexfridman.com/?p=4368
#121 – Eugenia Kuyda: Friendship with an AI Companion,2020-09-05,10894,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_eugenia_kuyda.mp3,133056616,https://lexfridman.com/?p=4374
Lex Solo #3 – In Memory of My Grandmother,2020-09-07,1102,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_solo_grandmother.mp3,13361004,https://lexfridman.com/?p=4377
"#122 – David Fravor: UFOs, Aliens, Fighter Jets, and Aerospace Engineering",2020-09-08,14211,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_david_fravor.mp3,172372789,https://lexfridman.com/?p=4380
"#123 – Manolis Kellis: Origin of Life, Humans, Ideas, Suffering, and Happiness",2020-09-12,7880,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_manolis_kellis_2.mp3,96010525,https://lexfridman.com/?p=4383
"#124 – Stephen Wolfram: Fundamental Theory of Physics, Life, and the Universe",2020-09-15,15846,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_stephen_wolfram_2.mp3,193118151,https://lexfridman.com/?p=4388
"#125 – Ryan Hall: Martial Arts and the Philosophy of Violence, Power, and Grace",2020-09-20,,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_ryan_hall.mp3,3,https://lexfridman.com/?p=4391
